"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06083","Santa Barbara County, CA","2.2","1.6","27","6","0.08","0.068","3","1","0","40","9.4","208","30","."
"06085","Santa Clara County, CA","2.5","1.8","52","17","0.11","0.075",".","1",".","41","10.8","67","21","0.07"
"06087","Santa Cruz County, CA",".",".",".",".","0.08","0.06",".",".",".","21","7.1",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.09","0.075",".",".",".","32","7.8","62","21","."
"06093","Siskiyou County, CA",".",".",".",".",".",".",".",".",".","54","11.1",".",".","."
"06095","Solano County, CA","2.6","1.9","42","8","0.09","0.067","4","2","1","42","11.6","51","17","."
"06097","Sonoma County, CA","1.8","1.1","29","5","0.08","0.062",".",".",".","26","8.1","152","16","."
"06099","Stanislaus County, CA","2","1.6","46","10","0.11","0.084",".",".",".","51","12.9","112","36","."
"06101","Sutter County, CA","0.6","0.5","42","7","0.08","0.067",".",".",".","32","9.3","99","21","."
"06103","Tehama County, CA",".",".",".",".","0.09","0.073",".",".",".","23","7.2","71","20","."
"06107","Tulare County, CA",".",".","56","11","0.11","0.089",".",".",".","75","16.3","140","46","."
"06109","Tuolumne County, CA",".",".",".",".","0.09","0.077",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","37","8","0.1","0.081",".",".",".","101","13.7","133","29","."
"06113","Yolo County, CA",".",".",".","4","0.08","0.067",".",".",".","41","8.7","76","21","."
"08001","Adams County, CO","2","1.3",".","14","0.08","0.068","15","3","1","24","9.7","116","35","."
"08003","Alamosa County, CO",".",".",".",".",".",".",".",".",".",".",".","56","21","."
"08005","Arapahoe County, CO",".",".",".",".","0.09","0.072",".",".",".","19","6.1",".",".","."
"08007","Archuleta County, CO",".",".",".",".",".",".",".",".",".",".",".","72","21","."
"08013","Boulder County, CO",".",".",".",".","0.09","0.073",".",".",".","19","6.7","47","23","."
"08019","Clear Creek County, CO",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"08029","Delta County, CO",".",".",".",".",".",".",".",".",".",".",".","53","22","."
"08031","Denver County, CO","3.8","1.7","70","27","0.09","0.068","16","3","1","23","8.9","79","30","."
"08035","Douglas County, CO",".",".",".",".","0.1","0.074",".",".",".","19","5.4",".",".","."
"08041","El Paso County, CO","2.3","1.3",".",".","0.08","0.07","22","7","1","17","6","49","18","."
"08045","Garfield County, CO",".",".","21","4","0.08","0.063",".",".",".","11","4.1","40","18","."
"08051","Gunnison County, CO",".",".",".",".","0.07","0.065",".",".",".",".",".","89","25","."
"08059","Jefferson County, CO",".",".",".",".","0.1","0.076",".",".",".",".",".",".",".","."
"08067","La Plata County, CO","1.1","1","27","6","0.08","0.069",".",".",".",".",".","36","16","."
"08069","Larimer County, CO","2","1.2",".",".","0.09","0.075",".",".",".","18","7.4","50","21","."
"08077","Mesa County, CO","1.2","0.9",".",".","0.07","0.064",".",".",".","16","5.7","44","17","."
"08081","Moffat County, CO",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"08083","Montezuma County, CO",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"08085","Montrose County, CO",".",".",".",".","0.06","0.058",".",".",".",".",".",".",".","."
"08093","Park County, CO",".",".","6","1","0.08","0.065",".",".",".","11","3.4","41","6","."
"08097","Pitkin County, CO",".",".",".",".",".",".",".",".",".",".",".","40","16","."
"08099","Prowers County, CO",".",".",".",".",".",".",".",".",".",".",".","75","21","."
"08101","Pueblo County, CO",".",".",".",".",".",".",".",".",".","16","5.6","60","19","."
